Task ID,Created At,Completed At,Last Modified,Name,Assignee,Due Date,Tags,Notes,Projects,Parent Task
31330485412950,2015-04-10,,2015-04-10,Lambda:,,,,,Java SE 8,
31428194745288,2015-04-11,,2015-04-11,Прочитать статью Lambda Expressions,,,,,Java SE 8,
31428194745292,2015-04-11,,2015-04-11,Прочитать статью Lambda FAQ,,,,,Java SE 8,
31428194745296,2015-04-11,,2015-04-11,Прочитать статью Java 8: Lambda Part 1,,,,,Java SE 8,
31428194745300,2015-04-11,,2015-04-11,Прочитать статью Java 8: Lambda Part 2,,,,,Java SE 8,
31428194745304,2015-04-11,,2015-04-11,Lambda Expressions in Java. Tutorial,,,,,Java SE 8,
31428194745306,2015-04-11,,2015-04-11,Lambda Expressions in Java. Reference,,,,,Java SE 8,
31330485412948,2015-04-10,,2015-04-10,Streams:,,,,,Java SE 8,
31428194745312,2015-04-11,,2015-04-11,Aggregate Operations,,,,,Java SE 8,
31428194745316,2015-04-11,,2015-04-11,Reduction,,,,,Java SE 8,
31428194745318,2015-04-11,,2015-04-11,Parallelism,,,,,Java SE 8,
31428194745320,2015-04-11,,2015-04-11,State of the Lambda,,,,,Java SE 8,
31428194745322,2015-04-11,,2015-04-11,State of the Lambda: Libraries Edition,,,,,Java SE 8,
31428194745324,2015-04-11,,2015-04-11,Interface evolution via virtual extension methods,,,,,Java SE 8,
31428194745326,2015-04-11,,2015-04-11,What's Wrong with Java 8: Currying vs Closures,,,,,Java SE 8,
31428194745328,2015-04-11,,2015-04-11,"What's Wrong in Java 8, Part II: Functions & Primitives",,,,,Java SE 8,
31428194745344,2015-04-11,,2015-04-11,"What's Wrong in Java 8, Part III: Streams and Parallel Streams",,,,,Java SE 8,
31428194745346,2015-04-11,,2015-04-11,"What's Wrong in Java 8, Part IV: Monads",,,,,Java SE 8,
31428194745348,2015-04-11,,2015-04-11,"What's wrong in Java 8, part V: Tuples",,,,,Java SE 8,
31428194745350,2015-04-11,,2015-04-11,"What's wrong in Java 8, part VI: Strictness",,,,,Java SE 8,
31428194745420,2015-04-11,,2015-04-11,Сергей Куксенко — JDK8: Stream style,,,,,Java SE 8,
31428194745275,2015-04-11,,2015-04-11,"Методы в интерфейсах, ссылки на методы, множественное наследование:",,,,,Java SE 8,
31428194745280,2015-04-11,,2015-04-11,Прочитать статью Default methods,,,,,Java SE 8,
31428194745283,2015-04-11,,2015-04-11,Прочитать статью Method References,,,,,Java SE 8,
31428194745358,2015-04-11,,2015-04-11,Аннотации:,,,,,Java SE 8,
31428194745362,2015-04-11,,2015-04-11,Lesson: Annotations,,,,,Java SE 8,
31428194745366,2015-04-11,,2015-04-11,Type Annotations Specification (JSR 308),,,,,Java SE 8,
31428194745370,2015-04-11,,2015-04-11,Reflection API:,,,,,Java SE 8,
31428194745372,2015-04-11,,2015-04-11,Trail: The Reflection API,,,,,Java SE 8,
31428194745376,2015-04-11,,2015-04-11,Mirrors: Design Principles for Meta-level Facilities of Object-Oriented Programming Languages,,,,,Java SE 8,
31428194745383,2015-04-11,,2015-04-11,Загрузка классов:,,,,,Java SE 8,
31428194745388,2015-04-11,,2015-04-11,Dynamic Class Loading in the JavaTM Virtual Machine,,,,,Java SE 8,
31428194745392,2015-04-11,,2015-04-11,Internals of Java Class Loading,,,,,Java SE 8,
31428194745394,2015-04-11,,2015-04-11,Inside Class Loaders,,,,,Java SE 8,
31428194745396,2015-04-11,,2015-04-11,Inside Class Loaders: Debugging,,,,,Java SE 8,
31428194745398,2015-04-11,,2015-04-11,Loading of Classes and Interfaces,,,,,Java SE 8,
31428194745400,2015-04-11,,2015-04-11,Linking of Classes and Interfaces,,,,,Java SE 8,
31428194745408,2015-04-11,,2015-04-11,Initialization of Classes and Interfaces,,,,,Java SE 8,
31428194745410,2015-04-11,,2015-04-11,Unloading of Classes and Interfaces,,,,,Java SE 8,
