Task ID,Created At,Completed At,Last Modified,Name,Assignee,Due Date,Tags,Notes,Projects,Parent Task
31351302806325,2015-04-10,,2015-04-10,Знакомство с c9.io:,,,,,Node.js,
31351302806328,2015-04-10,,2015-04-10,https://c9.io/,,,,,Node.js,
31351302806356,2015-04-10,,2015-04-10,запуск mongo db на c9.io,,,,,Node.js,
31351302806261,2015-04-10,,2015-04-10,Screencast по Node.js часть 1:,,,,https://learn.javascript.ru/nodejs-screencast,Node.js,
31351302806263,2015-04-10,,2015-04-10,"Введение в Node.JS, об этом скринкасте",,,,,Node.js,
31351302806267,2015-04-10,,2015-04-10,Что такое Node.JS? Почему Node.JS?,,,,,Node.js,
31351302806269,2015-04-10,,2015-04-10,Установка и запуск,,,,,Node.js,
31351302806271,2015-04-10,,2015-04-10,Исходники и документация,,,,,Node.js,
31351302806273,2015-04-10,,2015-04-10,Модули для Node.JS,,,,,Node.js,
31351302806275,2015-04-10,,2015-04-10,Приёмы работы с модулями,,,,,Node.js,
31351302806277,2015-04-10,,2015-04-10,Введение в NPM – менеджер пакетов для Node.JS,,,,,Node.js,
31351302806279,2015-04-10,,2015-04-10,Структура пакета NPM,,,,,Node.js,
31351302806281,2015-04-10,,2015-04-10,Глобальные модули,,,,,Node.js,
31351302806283,2015-04-10,,2015-04-10,Модуль util и наследование,,,,,Node.js,
31351302806285,2015-04-10,,2015-04-10,Модуль console,,,,,Node.js,
31351302806287,2015-04-10,,2015-04-10,Наследование от ошибок Error,,,,,Node.js,
31351302806289,2015-04-10,,2015-04-10,"События, EventEmitter и утечки памяти",,,,,Node.js,
31351302806291,2015-04-10,,2015-04-10,Node.JS как веб-сервер,,,,,Node.js,
31351302806293,2015-04-10,,2015-04-10,Эхо-сервер на Node.JS,,,,,Node.js,
31351302806295,2015-04-10,,2015-04-10,Документация к модулю http,,,,,Node.js,
31351302806297,2015-04-10,,2015-04-10,"Разработка, supervisor",,,,,Node.js,
31351302806299,2015-04-10,,2015-04-10,Отладка скриптов под Node.JS,,,,,Node.js,
31351302806301,2015-04-10,,2015-04-10,"Логирование, модули debug и winston",,,,,Node.js,
31351302806303,2015-04-10,,2015-04-10,Введение в асинхронную разработку,,,,,Node.js,
31351302806305,2015-04-10,,2015-04-10,"Событийный цикл, библиотека libUV",,,,,Node.js,
31351302806307,2015-04-10,,2015-04-10,"Таймеры, process.nextTick, ref/unref",,,,,Node.js,
31351302806309,2015-04-10,,2015-04-10,"Работа с файлами, модуль fs",,,,,Node.js,
31351302806311,2015-04-10,,2015-04-10,Безопасный путь к файлу в fs и path,,,,,Node.js,
31351302806313,2015-04-10,,2015-04-10,"Потоки данных в Node.JS, fs.ReadStream",,,,,Node.js,
31351302806315,2015-04-10,,2015-04-10,"Writable поток ответа res, метод pipe",,,,,Node.js,
31351302806317,2015-04-10,,2015-04-10,"Чат через long-polling, чтение POST",,,,,Node.js,
31351302806319,2015-04-10,,2015-04-10,"Домены, «асинхронный try..catch»",,,,,Node.js,
31351302806321,2015-04-10,,2015-04-10,Чтение параметров из командной строки и окружения,,,,,Node.js,
31351302806323,2015-04-10,,2015-04-10,Screencast node.js часть 2:,,,,,Node.js,
31351302806330,2015-04-10,,2015-04-10,Создаём костяк сайта / Express: основы и Middleware,,,,,Node.js,
31351302806332,2015-04-10,,2015-04-10,"Улучшаем костяк сайта / Логгер, конфигурация, шаблонка для HTML",,,,,Node.js,
31351302806334,2015-04-10,,2015-04-10,"Улучшаем шаблонизацию / EJS: layout, block, partials",,,,,Node.js,
31351302806336,2015-04-10,,2015-04-10,"Начинаем работать с базой / Основы MongoDB, native driver",,,,,Node.js,
31351302806338,2015-04-10,,2015-04-10,Создаём модель для пользователя / Основы Mongoose,,,,,Node.js,
31351302806340,2015-04-10,,2015-04-10,"Делаем скрипт для создания тестовой базы / Async, организация кода [обновлено]",,,,,Node.js,
31351302806342,2015-04-10,,2015-04-10,"Веб-сервисы, работа с ошибками / Express, Mongoose",,,,,Node.js,
31351302806344,2015-04-10,,2015-04-10,"Сессии, отслеживание посетителей /Express/",,,,,Node.js,
31351302806346,2015-04-10,,2015-04-10,"Авторизация /Express, Mongoose, Async, EJS/",,,,,Node.js,
31351302806348,2015-04-10,,2015-04-10,"COMET: обзор подходов / WS.JS, Sock.JS, Socket.IO",,,,,Node.js,
31351302806350,2015-04-10,,2015-04-10,Чат на Express и Socket.IO,,,,,Node.js,
31351302806352,2015-04-10,,2015-04-10,Опции Socket.IO и автореконнект,,,,,Node.js,
31351302806354,2015-04-10,,2015-04-10,Socket.IO + Express + авторизация,,,,,Node.js,
31351302806358,2015-04-10,,2015-04-10,задания:,,,,,Node.js,
31351302806360,2015-04-10,,2015-04-10,Common шаблон ,,,,"Шаблон с поддержкой express, сессий, конфигурациями, авторизацией",Node.js,
31351302806362,2015-04-10,,2015-04-10,Whois сервис,,,,,Node.js,
31351302806364,2015-04-10,,2015-04-10,дневник тренировок,,,,,Node.js,
