Task ID,Created At,Completed At,Last Modified,Name,Assignee,Due Date,Tags,Notes,Projects,Parent Task
31330485412966,2015-04-10,,2015-04-10,Qmake:,,,,,Project Build Systems,
31330485412964,2015-04-10,,2015-04-10,Gradle:,,,,,Project Build Systems,
31706443923516,2015-04-14,,2015-04-14,Статья Gradle User Guide,,,,,Project Build Systems,
31706443923520,2015-04-14,,2015-04-14,Статья Gradle и решение задач автоматизации,,,,,Project Build Systems,
31706443923524,2015-04-14,,2015-04-14,Gradle: Tasks Are Code,,,,,Project Build Systems,
31706443923528,2015-04-14,,2015-04-14,Gradle: Better Way To Build,,,,,Project Build Systems,
31706443923532,2015-04-14,,2015-04-14,Почему Gradle?,,,,,Project Build Systems,
31706443923536,2015-04-14,,2015-04-14,Многомодульный Java-проект с Gradle. Шаг за шагом,,,,,Project Build Systems,
31330485412962,2015-04-10,,2015-04-10,Maven:,,,,,Project Build Systems,
31783559839441,2015-04-15,,2015-04-15,Статья Maven — автоматизация сборки проекта,,,,,Project Build Systems,
31783559839445,2015-04-15,,2015-04-15,Статья Apache Maven — основы,,,,,Project Build Systems,
31783559839449,2015-04-15,,2015-04-15,Статья Руководство по Maven,,,,,Project Build Systems,
31783559839453,2015-04-15,,2015-04-15,Статья Знакомство с Maven,,,,,Project Build Systems,
31330485412960,2015-04-10,,2015-04-10,Ant:,,,,,Project Build Systems,
31343605630494,2015-04-10,,2015-04-10,Прочитать Мануал по API и установке,,,,,Project Build Systems,
31343605630497,2015-04-10,,2015-04-10,"Написать таргет, для запуска SQL файла, который обновит имеющуюся базу удалив все кастомные значения",,,,,Project Build Systems,
