Task ID,Created At,Completed At,Last Modified,Name,Assignee,Due Date,Tags,Notes,Projects,Parent Task
31338386237409,2015-04-10,,2015-04-10,Интерактивный учебник AngularJS:,,,,http://www.angularjsbook.com/angular-basics/chapters/,Angular JS,
31338386237411,2015-04-10,,2015-04-10,Introduction,,,,http://www.angularjsbook.com/angular-basics/chapters/introduction/,Angular JS,
31338386237413,2015-04-10,,2015-04-10,Basics,,,,http://www.angularjsbook.com/angular-basics/chapters/basics/,Angular JS,
31338386237415,2015-04-10,,2015-04-10,Controllers,,,,http://www.angularjsbook.com/angular-basics/chapters/controllers/,Angular JS,
31338386237417,2015-04-10,,2015-04-10,Scopes,,,,http://www.angularjsbook.com/angular-basics/chapters/scopes/,Angular JS,
31338386237419,2015-04-10,,2015-04-10,Collections,,,,http://www.angularjsbook.com/angular-basics/chapters/collections/,Angular JS,
31338386237421,2015-04-10,,2015-04-10,Modules,,,,http://www.angularjsbook.com/angular-basics/chapters/modules/,Angular JS,
31338386237423,2015-04-10,,2015-04-10,Dependency Injection,,,,http://www.angularjsbook.com/angular-basics/chapters/dependency-injection/,Angular JS,
31338386237425,2015-04-10,,2015-04-10,Services,,,,http://www.angularjsbook.com/angular-basics/chapters/services/,Angular JS,
31338386237427,2015-04-10,,2015-04-10,Filters,,,,http://www.angularjsbook.com/angular-basics/chapters/filters/,Angular JS,
31338386237429,2015-04-10,,2015-04-10,Directives,,,,http://www.angularjsbook.com/angular-basics/chapters/directives/,Angular JS,
31338386237431,2015-04-10,,2015-04-10,Directive Scopes,,,,http://www.angularjsbook.com/angular-basics/chapters/directive-scopes/,Angular JS,
31338386237433,2015-04-10,,2015-04-10,Routing,,,,http://www.angularjsbook.com/angular-basics/chapters/routing/,Angular JS,
31338386237435,2015-04-10,,2015-04-10,HTTP,,,,http://www.angularjsbook.com/angular-basics/chapters/http/,Angular JS,
31338386237437,2015-04-10,,2015-04-10,Курс AngularJS на codecademy:,,,,http://www.codecademy.com/learn/learn-angularjs,Angular JS,
31338386237439,2015-04-10,,2015-04-10,Unit1,,,,,Angular JS,
31338386237441,2015-04-10,,2015-04-10,Unit2,,,,,Angular JS,
31338386237443,2015-04-10,,2015-04-10,Unit3,,,,,Angular JS,
31338386237445,2015-04-10,,2015-04-10,Unit4,,,,,Angular JS,
31338386237447,2015-04-10,,2015-04-10,Unit5,,,,,Angular JS,
