Task ID,Created At,Completed At,Last Modified,Name,Assignee,Due Date,Tags,Notes,Projects,Parent Task
31426782060592,2015-04-11,,2015-04-11,Прочитать статью развернутый обзор Ext js 2.2,,,,,Ext Js,
31426782060596,2015-04-11,,2015-04-11,Прочитать статью Представляем Sencha Ext JS 5,,,,,Ext Js,
31343605630522,2015-04-10,,2015-04-10,Прочитать статью Создание сложных приложений в Ext JS,,,,,Ext Js,
31426782060531,2015-04-11,,2015-04-11,Введение в Ext JS 4:,,,,,Ext Js,
31426782060533,2015-04-11,,2015-04-11,Введение в Ext JS,,,,,Ext Js,
31426782060537,2015-04-11,,2015-04-11,Система классов в Ext JS 4,,,,,Ext Js,
31426782060541,2015-04-11,,2015-04-11,Работа с элементами DOM,,,,,Ext Js,
31426782060545,2015-04-11,,2015-04-11,Обработка событий компонентов,,,,,Ext Js,
31426782060549,2015-04-11,,2015-04-11,Анимация в Ext Js,,,,,Ext Js,
31426782060553,2015-04-11,,2015-04-11,Компоновка в Ext js ,,,,,Ext Js,
31426782060557,2015-04-11,,2015-04-11,Компоненты в Ext JS ,,,,,Ext Js,
31426782060561,2015-04-11,,2015-04-11,Работа с датами в Ext JS,,,,,Ext Js,
31426782060565,2015-04-11,,2015-04-11,AJAX в Ext js,,,,,Ext Js,
31426782060569,2015-04-11,,2015-04-11,Ext. XTemplate,,,,,Ext Js,
31426782060573,2015-04-11,,2015-04-11,Работа с формами в Ext JS,,,,,Ext Js,
31426782060576,2015-04-11,,2015-04-11,Работа с данными в Ext JS,,,,,Ext Js,
31426782060580,2015-04-11,,2015-04-11,Таблицы и Ext.grid.Panel,,,,,Ext Js,
31426782060584,2015-04-11,,2015-04-11,Архитектура приложения и MVC,,,,,Ext Js,
31426782060588,2015-04-11,,2015-04-11,Рисование в Ext JS и диаграммы,,,,,Ext Js,
