Task ID,Created At,Completed At,Last Modified,Name,Assignee,Due Date,Tags,Notes,Projects,Parent Task
31343605630490,2015-04-10,,2015-04-10,JAX - RS 2.0:,,,,,Java EE 7,
31343605630488,2015-04-10,,2015-04-10,JTA 1.2:,,,,,Java EE 7,
31343605630486,2015-04-10,,2015-04-10,Java Mail 1.5:,,,,,Java EE 7,
31343605630484,2015-04-10,,2015-04-10,JMS 2.0:,,,,,Java EE 7,
31343605630482,2015-04-10,,2015-04-10,JPA 2.1:,,,,,Java EE 7,
31343605630480,2015-04-10,,2015-04-10,Java EE Connector Architecture 1.7:,,,,,Java EE 7,
31343605630478,2015-04-10,,2015-04-10,Interceptors 1.2:,,,,,Java EE 7,
31343605630476,2015-04-10,,2015-04-10,EJB 3.2:,,,,,Java EE 7,
31343605630474,2015-04-10,,2015-04-10,Bean Validation 1.1:,,,,,Java EE 7,
31343605630472,2015-04-10,,2015-04-10,Dependency Injection for Java 1.1:,,,,,Java EE 7,
31343605630470,2015-04-10,,2015-04-10,Concurrency Utilities for Java EE 1.0:,,,,,Java EE 7,
31343605630468,2015-04-10,,2015-04-10,JSTL 1.2:,,,,,Java EE 7,
31343605630466,2015-04-10,,2015-04-10,JSP 2.3:,,,,,Java EE 7,
31343605630464,2015-04-10,,2015-04-10,JSF 2.2 :,,,,,Java EE 7,
31343605630462,2015-04-10,,2015-04-10,Servlet 3.1:,,,,,Java EE 7,
31343605630460,2015-04-10,,2015-04-10,JSON Processing:,,,,,Java EE 7,
31343605630458,2015-04-10,,2015-04-10,Web Socket:,,,,,Java EE 7,
